company_name,company_website,CompanyName,Address,City,State,Zip,County,Country,Website,PhoneNumber,FaxNumber,SICCode,IndustryName,6DigitSICCode,NAICSCode,NAICSDescription,LinkedInIndustryName,StockTicker,Revenue,NumberEmployees,YrFounded,AlexaRank,CompanyLinkedIn,CompanyFacebook,CompanyTwitter,CompanyInstagram,CompanyYelp,CompanyYouTube,CompanyCrunchbase,LeadSource
totallymoney,totallymoney.com,TotallyMoney,Churchill House 142 146 Old Street,London,,EC1V 9BW,"",United Kingdom,totallymoney.com,,"",,Financial Services,,52,Finance and Insurance,Financial Services,"",$1 Million - $10 Million,10 to 50,2006,210438,https://www.linkedin.com/company/totallymoney-com,,,,,,,UpLead
Datacomunique,datacomunique.com,Datacomunique,The Loft 68 Crescent Ln,London,,SW4 9PU,,United Kingdom,datacomunique.com,442070621048,,,"",,3231,Printing and Related Support Activities,,,"","",,,,https://www.facebook.com/Datacomunique,https://twitter.com/datacomunique,,,https://youtube.com/channel/UCJ9_sd7W1djQcV0daRMBcVQ,,UpLead
Energy Aspects Ltd.,energyaspects.com,Energy Aspects,1 Dock Offices Surrey Quays Road,London,,SE16 2XU,"",United Kingdom,energyaspects.com,442033224100,"",1389,"Oil And Gas Field Services, Nec, Oil & Energy",,21,"Mining, Quarrying, and Oil and Gas Extraction",Oil & Energy,"",$10 Million - $50 Million,50 to 200,2012,,https://www.linkedin.com/company/energy-aspects,,https://twitter.com/energyaspects,,,,,UpLead
Limejump,limejump.com,Limejump Limited,51 Tequila Wharf Commercial Rd,London,,E14 7LG,"",United Kingdom,limejump.com,442071275308,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Renewables & Environment",,54151,Computer Systems Design and Related Services,Renewables & Environment,"","","",2012,,https://www.linkedin.com/company/limejump,,,,,,https://www.crunchbase.com/organization/limejump,UpLead
Tide,tide.co,Tide,,London,greater london,"","","",tide.co,,"","",Financial Services,,"",,Financial Services,"","","",2015,,https://www.linkedin.com/company/1640339632,"","","","","","",UpLead
Receipt Bank,receipt-bank.com,Receipt Bank Limited,6th Floor 154 160 Fleet St,London,,C4A 2DQ,"",United Kingdom,receipt-bank.com,44 20 3699 5006,"",7372,"Prepackaged Software, Information Services",,5112,Software Publishers,Information Services,"",$50 Million - $100 Million,200 to 500,8,40415,https://www.linkedin.com/company/receipt-bank,https://www.facebook.com/ReceiptBank,https://twitter.com/ReceiptBank,,,,https://www.crunchbase.com/organization/receiptfarm,UpLead
Live Better With,livebetterwith.com,Live Better With Ltd.,Commercial Unit 2 Aurora Building 124 East Rd,London,,,"",United Kingdom,livebetterwith.com,44 80 0118 2705,"",,Retail,,44619,Other Health and Personal Care Stores,Retail,"","","",2015,,,,,,,,https://www.crunchbase.com/organization/live-better-with,UpLead
OpenRent Ltd,openrent.co.uk,OpenRent Ltd.,Office 34 67 68 Hatton Garden,London,,C1N 8JY,"",United Kingdom,openrent.co.uk,44 20 3322 2733,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Real Estate",,54151,Computer Systems Design and Related Services,Real Estate,"",$1 Million - $10 Million,10 to 50,2011,35103,https://www.linkedin.com/company/openrent,https://www.facebook.com/OpenRent,https://twitter.com/OpenRent,,,https://www.youtube.com/channel/UC2Exi1sUSch5GsGlqWlYd6w,https://www.crunchbase.com/organization/openrent,UpLead
MORI,babymori.com,Baby Mori Limited,Studio 118 Grand Union Studios 332 Ladbroke Grove,London,,W10 5AD,"",United Kingdom,babymori.com,44 20 3637 5543,"",59,"Miscellaneous Retail, Apparel & Fashion",,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",Apparel & Fashion,"","","",2014,,https://www.linkedin.com/company/baby-mori-limited,,,https://www.instagram.com/babymoriuk/,,,https://www.crunchbase.com/organization/mori-2,UpLead
Thunderhead Ltd,thunderhead.com,Thunderhead Ltd.,4th Floor Ingeni Building 17 Broadwick Street Soho,London,,W1F 0DJ,"",United Kingdom,thunderhead.com,44 34 5130 9340,4.42082E+11,737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",801101,54151,Computer Systems Design and Related Services,Computer Software,"",$50 Million - $100 Million,200 to 500,2001,305268,https://www.linkedin.com/company/thunderhead---com,,https://twitter.com/ThunderheadONE,,,,,UpLead
Farfetch,farfetch.com,Farfetch.com Limited,26 Grosvenor Street Mayfair,London,,W1K 4QW,"",United Kingdom,farfetch.com,44 16 2467 5610,"",59,"Miscellaneous Retail, Internet",999900,44,Retail Trade,Internet,"",$200 Million - $1 Billion,"1,000 to 5,000",2008,868,https://www.linkedin.com/company/farfetch.com,https://www.facebook.com/farfetch,https://twitter.com/farfetch,https://instagram.com/farfetch/,,http://www.youtube.com/user/farfetchdotcom,http://www.crunchbase.com/organization/farfetch,UpLead
Zoopla,zoopla.co.uk,Zoopla,182 194 Union St,London,,SE1 0LH,,United Kingdom,zoopla.co.uk,,,6531,"Real Estate Agents And Managers, Real Estate",,53,Real Estate and Rental and Leasing,Real Estate,,"","",2007,3023,,https://www.facebook.com/ZooplaUK,https://twitter.com/Zoopla,https://www.instagram.com/zoopla/,,,http://www.crunchbase.com/organization/zoopla,UpLead
Vitality UK,vitality.co.uk,Vitality Corporate Services Limited,Vitality 4th Floor 70 Gracechurch St,London,,C3V 0XL,"",United Kingdom,vitality.co.uk,44 2071 338 600,"",63,"Insurance Carriers, Insurance",,524,Insurance Carriers and Related Activities,Insurance,"","","1,000 to 5,000",2004,56944,https://www.linkedin.com/company/vitalityuk,HTTPS://WWW.FACEBOOK.COM/VITALITYUK,https://twitter.com/Vitality_UK,,,,,UpLead
Fiit,fiit.tv,Fiit,,London,london,"","","",fiit.tv,,"","","Health, Wellness And Fitness",,"",,"Health, Wellness And Fitness","","","",,,https://www.linkedin.com/company/1640023973,"","","","","","",UpLead
Ghana International Bank Plc,ghanabank.co.uk,Ghana International Bank Public Limited Company,67 Cheapside 1st Floor,London,,C2V 6AZ,"",United Kingdom,ghanabank.co.uk,44 84 5605 6004,442074899058,6029,"Commercial Banks, Nec, Banking",,522110,Commercial Banking,Banking,"",$10 Million - $50 Million,50 to 200,1959,,https://www.linkedin.com/company/ghana-international-bank-public-limited-company,,,,,,,UpLead
Acrotrend,acrotrend.com,Acrotrend Solutions Limited,,London,,,"",United Kingdom,acrotrend.com,442081233208,"",8742,"Management Consulting Services, Information Technology And Services",738911,54161,Management Consulting Services,Information Technology And Services,"","","",2007,,https://www.linkedin.com/company/acrotrend-solutions-limited,,https://twitter.com/Acrotrend,,,,,UpLead
Resolving Ltd,resolver.co.uk,Resolving Limited,Unit 1 52 Lant St,London,,SE1 1QP,"",United Kingdom,resolver.co.uk,44 7788 144 811,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Consumer Services",,54151,Computer Systems Design and Related Services,Consumer Services,"",Under $1 Million,1 to 10,2012,85595,https://www.linkedin.com/company/resolving-limited,,https://twitter.com/resolvercouk,,,,https://www.crunchbase.com/organization/resolver-2,UpLead
Checkout.com,checkout.com,Checkout Ltd,32 Wigmore St,London,,W1U 2RP,"",United Kingdom,checkout.com,44 20 7323 3888,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Financial Services",,54151,Computer Systems Design and Related Services,Financial Services,"",$10 Million - $50 Million,200 to 500,2010,24272,https://linkedin.com/company/checkout,https://www.facebook.com/checkout,https://twitter.com/checkout,,,,,UpLead
Add to Event Ltd.,addtoevent.co.uk,Full Stop Party Events Ltd,725 727 Garratt Ln,London,,SW17 0PD,"",United Kingdom,addtoevent.co.uk,,"",4899,"Communication Services, Nec, Events Services",,7223,Special Food Services,Events Services,"","","",,457034,https://www.linkedin.com/company/add-to-event,https://www.facebook.com/addtoevent,https://twitter.com/AddtoEvent,,,,,UpLead
Gousto,gousto.co.uk,SCA Investments Limited,3 Morris House,London,,,"",United Kingdom,gousto.co.uk,44 20 8743 4187,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Food & Beverages",,54151,Computer Systems Design and Related Services,Food & Beverages,"",$10 Million - $50 Million,200 to 500,2011,420963,,https://www.facebook.com/followgousto,https://twitter.com/FollowGousto,https://www.instagram.com/goustocooking/,,,https://www.crunchbase.com/organization/gousto,UpLead
Wolf & Badger,wolfandbadger.com,Wolf & Badger Limited,32 Dover St,London,,W1S 4NE,"",United Kingdom,wolfandbadger.com,44 20 7229 4848,"",599,"Retail Stores, Not Elsewhere Classified, Retail",,453,Miscellaneous Store Retailers,Retail,"","","",2010,103413,https://www.linkedin.com/company/wolf-&-badger,https://www.facebook.com/wolfandbadger,https://twitter.com/wolfandbadger,https://www.instagram.com/wolfandbadger/,,https://www.youtube.com/channel/UCl6kGAMothlMssM-eLVtfYg,https://www.crunchbase.com/organization/wolf-badger,UpLead
HSBC,hsbc.com,HSBC Holdings PLC,8 Canada Sq,London E14,,5HQ,"",United Kingdom,hsbc.com,+44 20 7991 2652,+44 20 7992 4880,60,"Depository Institutions, Financial Services",628203,5221,Depository Credit Intermediation,Financial Services,HSBA,Over $1 Billion,"Over 10,000",1865,,https://www.linkedin.com/company/hsbc-commercial-banking,https://www.facebook.com/hsbcuk,http://twitter.com/hsbc_uk,,,https://www.youtube.com/user/HSBC,http://www.crunchbase.com/organization/hsbc,UpLead
Student Beans,studentbeans.com,Student Beans,Highgate Studios 53 79 Highgate Rd,London,Greater London,NW5 1TL,,United Kingdom,studentbeans.com,,,,Online Media,,5418,"Advertising, Public Relations, and Related Services",Online Media,,$1 Million - $10 Million,10 to 50,2005,25643,https://www.linkedin.com/company/the-beans-group,,https://twitter.com/studentbeans,,,,,UpLead
Superdry,superdry.com,Superdry Plc,Unit 60 The Runnings,Cheltenham Gl51,gloucestershire,9NW,"",United Kingdom,superdry.com,44(124) 257-8376,"",59,"Miscellaneous Retail, Apparel & Fashion",,44,,Apparel & Fashion,SEPGF,Over $1 Billion,"1,000 to 5,000",2009,,https://www.linkedin.com/company/1239760,https://www.facebook.com/Superdry,https://twitter.com/Superdry,,,,,UpLead
Lyst,lyst.com,Lyst Ltd.,44 46 New Inn Yard 3rd Floor,London,,C2A 3EY,"",United Kingdom,lyst.com,44 2070 333 841,"",51,"Wholesale Trade   Nondurable Goods, Apparel & Fashion",,315,Apparel Manufacturing,Apparel & Fashion,"",$10 Million - $50 Million,50 to 200,2010,5131,https://www.linkedin.com/company/lyst,https://www.facebook.com/Lyst,https://twitter.com/lyst,,,,,UpLead
EDF Energy,edfenergy.com,EDF Energy (Enterprises) Limited,Victoria 40 Grosvenor Place,London,,SW1X 7EN,"",United Kingdom,edfenergy.com,44 20 7752 2429,4.42E+11,49,"Electric, Gas And Sanitary Services, Utilities",173101,22,Utilities,Utilities,"",Over $1 Billion,"Over 10,000",1991,31599,https://www.linkedin.com/company/edf-energy,https://www.facebook.com/edfenergy,https://twitter.com/edfenergy,,,https://youtube.com/EDFEnergy,https://www.crunchbase.com/organization/edf-renewable-energy,UpLead
BAE Systems,baesystems.com,BAE Systems PLC,Stirling Square 6 Carlton Gardens,London Sw1 Y,,5AD,"",United Kingdom,baesystems.com,+44 12 5238 3857,+44 12 5238 3991,37,"Transportation Equipment, Defense & Space",874833,3364,Aerospace Product and Parts Manufacturing,Defense & Space,BA,Over $1 Billion,"Over 10,000",1999,27855,https://www.linkedin.com/company/bae-systems,https://www.facebook.com/BAESystemsplc,https://twitter.com/BAESystemsplc,https://www.instagram.com/baesystems/,http://www.yelp.com/biz/bae-systems-greenlawn-2,https://www.youtube.com/user/BAESystemsplc,https://www.crunchbase.com/organization/bae-systems,UpLead
Informa,informa.com,Informa PLC,5 Howick Pl,London Sw1 P,,1WG,"",United Kingdom,informa.com,44 20 7017 5000,"",2721,Information Services,272102,519,Other Information Services,Information Services,IFPJF,Over $1 Billion,"5,000 to 10,000",2014,38000,https://www.linkedin.com/company/164356,https://www.facebook.com/pages/Informa-PLC/12602585785,https://twitter.com/InformaPLC,,,,http://www.crunchbase.com/organization/informa-plc,UpLead
SME Capital,smecapital.com,SME Platform Ltd.,4 Th Floor 1 4 Grosvenor Pl,London,,W1X 7HJ,,United Kingdom,smecapital.com,44 20 3866 4573,,737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",,54151,Computer Systems Design and Related Services,Computer Software,,"","",2014,,,,,,,,,UpLead
Pollen,verve.co,Verve,,London,london,"","","",verve.co,,"","",Marketing And Advertising,,"",,Marketing And Advertising,"","","",,437682,https://www.linkedin.com/company/onverve,"","","","","","",UpLead
Focus I.T,focusitco.com,Focusit,28 F Tower 2 The Enterprise Centre 6766 Ayala,Makati,Makati,1227,,Philippines,focusitco.com,,,737,"Computer Programming, Data Processing, And Other Computerrelated",,54151,Computer Systems Design and Related Services,,,"","",,,,,,,,,,UpLead
Keboola,keboola.com,Keboola,Krizikova 488/115,Prague,Prague,18000,"",Czech Republic,keboola.com,+420246035141,"",7372,"Prepackaged Software, Information Technology And Services",,5112,Software Publishers,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2008,230880,https://www.linkedin.com/company/keboola,,https://twitter.com/keboola,,,,http://www.crunchbase.com/company/keboola,UpLead
"ORACLEWIZARD.COM, INC",oraclewizard.com,"Oraclewizard.Com, Inc",500 Creek Crossing Ln,Glen Burnie,MD,21060,Anne Arundel,United States,oraclewizard.com,5712764790,4107660332,4899,"Communication Services, Nec",573407,541511,Custom Computer Programming Services,,,Under $1 Million,1 to 10,2005,,https://www.linkedin.com/company/oraclewizard.com-inc,,,,,,,UpLead
Tellius,tellius.com,Tellius,,Reston,VA,,Fairfax,United States,tellius.com,,"",7372,"Prepackaged Software, Information Technology And Services",,5112,Software Publishers,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2015,879676,https://www.linkedin.com/company/tellius,,,,,,,UpLead
FAST TRACK Solutions,fasttrack-solutions.com,Fast Track,,Malta,paraíba,"","","",fasttrack-solutions.com,,"","",Information Technology And Services,,"",,Information Technology And Services,"","","",2016,,https://www.linkedin.com/company/10631279,"","","","","","",UpLead
Altis Consulting Pty Ltd,altis.com.au,Altis Consulting,Level 6 219 223 Castlereagh St,Sydney,NSW,2000,"",Australia,altis.com.au,61292111522,61292113634,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,50 to 200,1998,,https://www.linkedin.com/company/altis-consulting,,https://twitter.com/Altis_DWBI,,,,,UpLead
Foxtel,foxtel.com.au,Foxtel,Foxtel Management Pty. Limited 5 Thomas Holt Drive,North Ryde,SYDNEY,NSW 2113,"",Australia,foxtel.com.au,+61 8 9258 5201,"",48,"Communications, Broadcast Media",,515,Broadcasting (except Internet),Broadcast Media,"",$200 Million - $1 Billion,"1,000 to 5,000",,11640,https://www.linkedin.com/company/foxtel,https://www.facebook.com/FOXTEL,https://twitter.com/FOXTEL_Help,,,https://youtube.com/FOXTEL,,UpLead
3Easy & Co.,3easy.org,3Easy & Co.,Everyware,Sydney,,2000,,Australia,3easy.org,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,,$1 Million - $10 Million,1 to 10,,,https://www.linkedin.com/company/3easy-web-organisation,,https://twitter.com/3Easy,,,,,UpLead
Play,play.pl,Play (telecommunications),Tamowa 7,Warsaw,Mazowieckie,,"",Poland,play.pl,48 22 319 40 00,"",4812,"Radiotelephone Communication, Telecommunications",,517,Telecommunications,Telecommunications,"",$200 Million - $1 Billion,"1,000 to 5,000",2005,9687,https://www.linkedin.com/company/p4,https://www.facebook.com/Play,,,,,,UpLead
Wind River,windriver.com,"Wind River Systems, Inc.",500 Wind River Way,Alameda,CA,94501,Alameda,United States,windriver.com,(510) 748-4100,(510) 749-2011,7372,"Prepackaged Software, Computer Software",737102,5112,Software Publishers,Computer Software,"",$200 Million - $1 Billion,"1,000 to 5,000",1981,297982,https://www.linkedin.com/company/wind-river,https://www.facebook.com/WindRiverSystems,https://twitter.com/WindRiver,,,,http://www.crunchbase.com/company/wind-river,UpLead
RailSimulator.com Ltd,dovetailgames.com,RailSimulator.com Limited,The Observatory Chatham Maritime,Chatham,,ME4 4NT,"",United Kingdom,dovetailgames.com,44 1634 890 026,"",7372,"Prepackaged Software, Computer Games",,5112,Software Publishers,Computer Games,"",$10 Million - $50 Million,50 to 200,2008,228239,,https://www.facebook.com/railsimulator,https://twitter.com/dovetailgames,,,,,UpLead
Huron Consulting Group,huronconsultinggroup.com,Huron Consulting Group Inc,550 W Van Buren St,Chicago,IL,60607-3827,Cook,United States,huronconsultinggroup.com,(312) 583-8700,(302) 636-5454,8742,"Management Consulting Services, Management Consulting",874201,5416,"Management, Scientific, and Technical Consulting Services",Management Consulting,HURN,$200 Million - $1 Billion,"1,000 to 5,000",2002,500713,https://www.linkedin.com/company/5751,https://www.facebook.com/HuronConsulting,https://twitter.com/Huron,,http://www.yelp.com/biz/huron-consulting-charlotte,https://www.youtube.com/channel/UCCjoZaStA48qWzi1acO-IFw,https://www.crunchbase.com/organization/huron-consulting-group,UpLead
Dyson,dyson.com,"Dyson, Inc.",600 W Chicago Ave Ste 275,Chicago,IL,60654,Cook,United States,dyson.com,(312) 469-5950,"",50,"Wholesale Trade   Durable Goods, Electrical/Electronic Manufacturing",,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,Electrical/Electronic Manufacturing,"",$100 Million - $200 Million,"",1993,,https://www.linkedin.com/company/dyson,https://www.facebook.com/dyson,https://twitter.com/Dyson,,http://www.yelp.com/biz/dyson-vacuums-chicago,,,UpLead
In Partnership,inpartnership.net,On-Line Partnership Group Ltd.,On Line House 50 56 North St,Horsham,,H12 1RD,"",United Kingdom,inpartnership.net,44 14 0321 4200,"",7299,"Miscellaneous Personal Services, Financial Services",,52,Finance and Insurance,Financial Services,"","","",2000,,https://www.linkedin.com/company/in-partnership,,,,,,,UpLead
Equity Bank,equitybank.co.ke,Equity Group Holdings Ltd,Equity Centre 9th Floor Hospital Hill Road Upper Hill ; Po Box 75104,Nairobi,,00200,,Kenya,equitybank.co.ke,+254 202262000,+254 202737276,60,"Depository Institutions, Banking",,5221,Depository Credit Intermediation,Banking,EQTY,$200 Million - $1 Billion,"5,000 to 10,000",,,https://www.linkedin.com/company/equity-group-holdings,https://www.facebook.com/KeEquityBank,https://twitter.com/KeEquityBank,,,,,UpLead
Fivetran,fivetran.com,Fivetran,,Oakland,CA,,Alameda,United States,fivetran.com,,"",7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,"",$1 Million - $10 Million,10 to 50,2012,168984,https://www.linkedin.com/company/fivetran,,https://twitter.com/fivetran,,,,,UpLead
BizMachine,bizmachine.com,BizMachine,,Praha 8,,,"",Czech Republic,bizmachine.com,,"",7299,"Miscellaneous Personal Services, Information Services",,519,Other Information Services,Information Services,"",$1 Million - $10 Million,10 to 50,2016,,https://www.linkedin.com/company/bizmachine,,,,,,,UpLead
Primrose,primrose.co.uk,Meika Ltd,44 Portman Rd,Reading,,G30 1EA,"",United Kingdom,primrose.co.uk,44 1189 035 210,"",59,"Miscellaneous Retail, International Trade And Development",,4541,Electronic Shopping and Mail-Order Houses,International Trade And Development,"","","",2003,103376,https://www.linkedin.com/company/primrose-london,https://www.facebook.com/Primrose.co.uk,https://twitter.com/PrimroseUK,https://www.instagram.com/primrose.co.uk/,,https://youtube.com/user/primrosevideos,,UpLead
Caura & Co,caura.co,Caura & Co.,,Seattle,WA,,King,United States,caura.co,,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",Under $1 Million,1 to 10,,,https://www.linkedin.com/company/caura-services,,,,,,,UpLead
Glowforge,glowforge.com,Glowforge Inc.,2944 1st Ave S,Seattle,WA,98134,King,United States,glowforge.com,(855) 569-4878,"",3821,"Laboratory Apparatus And Furniture, Internet",999900,334,Computer and Electronic Product Manufacturing,Internet,"",$10 Million - $50 Million,50 to 200,2014,49724,https://www.linkedin.com/company/glowforge,https://www.facebook.com/glowforge,http://twitter.com/glowforge,https://www.instagram.com/glowforge/,,,http://www.crunchbase.com/organization/glowforge,UpLead
TINYpulse,tinypulse.com,Delight Labs LLC,200 W Thomas St Ste 100,Seattle,WA,98119,King,United States,tinypulse.com,206-455-9424,,737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",737200,54151,Computer Systems Design and Related Services,Computer Software,,$1 Million - $10 Million,10 to 50,2011,36148,,https://www.facebook.com/TINYpulse,https://twitter.com/TINYpulse,https://www.instagram.com/_tinypulse/,,,http://www.crunchbase.com/organization/tinypulse,UpLead
Sierra Nevada Physical Therapy,sierranevadapt.com,Sierra Nevada Physical Therapy,10775 Pioneer Trl Ste 106 B,Truckee,CA,96161,Nevada,United States,sierranevadapt.com,(530) 448-5055,,80,"Health Services, Hospital & Health Care",,62,Health Care and Social Assistance,Hospital & Health Care,,$1 Million - $10 Million,10 to 50,,,,,,,http://www.yelp.com/biz/sierra-nevada-physical-therapy-truckee,,,UpLead
NHS Blood and Transplant,nhsbt.nhs.uk,NHS Blood and Transplant,Reeds Crescent,Watford,,WD24 4QN,"",United Kingdom,nhsbt.nhs.uk,44-300-123-2323,"",80,"Health Services, Hospital & Health Care",,62,Health Care and Social Assistance,Hospital & Health Care,"",Over $1 Billion,"5,000 to 10,000",,389403,https://www.linkedin.com/company/nhs-blood-and-transplant,https://www.facebook.com/NHSBlood,,,,,,UpLead
UBS,ubs.com,UBS Group AG,Bahnhofstr. 45 Po Box,Zuerich,NJ,8098,"",Switzerland,ubs.com,+41 442341111,+41 442399111,60,"Depository Institutions, Financial Services",628203,5221,Depository Credit Intermediation,Financial Services,UBS,Over $1 Billion,"Over 10,000",1862,3597,https://www.linkedin.com/company/ubs,https://www.facebook.com/UBSglobal,https://twitter.com/UBS,https://www.instagram.com/ubs/,http://www.yelp.com/biz/ubs-financial-services-houston-4,https://youtube.com/user/ubsglobal,http://www.crunchbase.com/organization/ubs,UpLead
Clearleft Ltd,clearleft.com,Clearleft,Studio 2 28 Kensington Street,Brighton,East Sussex,BN1 4AJ,"",United Kingdom,clearleft.com,44-(0)845-838-6163,"",73,"Business Services, Internet",,5414,Specialized Design Services,Internet,"",$1 Million - $10 Million,10 to 50,2005,323472,https://www.linkedin.com/company/clearleft-ltd,,https://twitter.com/clearleft,,,,,UpLead
Rittman Mead,rittmanmead.com,"Rittman Mead Consulting, Ltd.",1 Jubilee Street Third Floor South Suite,Brighton,,BN1 1GE,"",United Kingdom,rittmanmead.com,44 8446 697 995,"",73,"Business Services, Computer Software",874811,5415,Computer Systems Design and Related Services,Computer Software,"","","",2007,530101,https://www.linkedin.com/company/rittman-mead-consulting-ltd.,https://www.facebook.com/rittmanmead,https://twitter.com/rittmanmead,,,,,UpLead
University of Sussex,sussex.ac.uk,University of Sussex,Sussex House Brighton Bn1 9rh,Brighton,East Sussex,BN1 9RN,"",United Kingdom,sussex.ac.uk,0044-01273872581,"",82,"Educational Services, Higher Education",651301,6113,"Colleges, Universities, and Professional Schools",Higher Education,"",$100 Million - $200 Million,"1,000 to 5,000",1961,11231,https://www.linkedin.com/company/university-of-sussex,https://facebook.com/uniofsussex,https://twitter.com/SussexUni,,,,,UpLead
Imagination,imagination.com,The Imagination Group Limited,25 Store Street South Crescent,London,,C1E 7BL,"",United Kingdom,imagination.com,44 20 7323 3300,4.42E+11,73,"Business Services, Marketing And Advertising",733603,5414,Specialized Design Services,Marketing And Advertising,"",$1 Million - $10 Million,200 to 500,1968,244330,https://www.linkedin.com/company/imagination,,https://twitter.com/ImaginationLabs,,,,,UpLead
King.com Ltd.,king.com,King Digital Entertainment,Fitzwilton House Wilton Pl,Dublin,,,"",Ireland,king.com,44 20 3451 5464,"",7372,"Prepackaged Software, Entertainment",,5112,Software Publishers,Entertainment,"",Over $1 Billion,"",2002,,https://www.linkedin.com/company/king-t-inc-,https://www.facebook.com/King/,https://twitter.com/King_Games,,,https://www.youtube.com/user/KingOnlineGames,https://www.crunchbase.com/organization/king,UpLead
Coty Inc,cotyinc.com,"Coty UK - Beauty, Celebrated & Liberated",,London,,,,United Kingdom,cotyinc.com,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Consumer Goods",738911,54151,Computer Systems Design and Related Services,Consumer Goods,,$200 Million - $1 Billion,"1,000 to 5,000",,675395,https://www.linkedin.com/company/cairo-food-industries,https://www.facebook.com/cotyinc,,,,,,UpLead
Essence Global,essenceglobal.com,Essence,Uk House 180 Oxford Street,London,London,W1D 1NN,,United Kingdom,essenceglobal.com,02077584200,,5813,"Drinking Places, Marketing And Advertising",,5418,"Advertising, Public Relations, and Related Services",Marketing And Advertising,,$100 Million - $200 Million,"1,000 to 5,000",2005,300009,https://www.linkedin.com/company/essence,,,,,,,UpLead
mParticle,mparticle.com,"mParticle, Inc.",381 Park Ave S Ste 815,New York,NY,10016,New York,United States,mparticle.com,(917) 692-2868,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",737112,54151,Computer Systems Design and Related Services,Internet,"",$10 Million - $50 Million,50 to 200,2013,298832,https://www.linkedin.com/company/mparticle-inc-,https://www.facebook.com/mParticle/,https://twitter.com/mParticles,https://www.instagram.com/mparticle/,,https://www.youtube.com/channel/UCLSEKemBRX66GjyMp4d2UJA,http://www.crunchbase.com/organization/mparticle,UpLead
Intricity,intricity.com,Intricity Llc,53 Frontage Rd Ste 105,Hampton,NJ,08827,Hunterdon,United States,intricity.com,(908) 280-2200,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",738911,5416,"Management, Scientific, and Technical Consulting Services",Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2006,491666,https://www.linkedin.com/company/intricity,https://www.facebook.com/pages/Intricity-LLC/108676382509683,,,,,,UpLead
Bcbgmaxazria,bcbg.com,Bcbgmaxazriagroup Sas,3 Rue D'uzes,Paris,,75002,"",France,bcbg.com,33 1 53 00 75 75,"",5621,"Women's Clothing Stores, Hospital & Health Care",562101,44812,Women's Clothing Stores,Hospital & Health Care,"",Over $1 Billion,"5,000 to 10,000",,90543,https://www.linkedin.com/company/bcbgmaxazria,https://www.facebook.com/BCBGMAXAZRIA,https://twitter.com/BCBGMAXAZRIA,,http://www.yelp.com/biz/bcbg-estero,,,UpLead
KNOTEL,knotel.com,"Knotel, Inc.",33 W 17th St,New York,NY,10011,New York,United States,knotel.com,(678) 827-2782,"",6531,"Real Estate Agents And Managers, Real Estate",,53131,Real Estate Property Managers,Real Estate,"",$1 Million - $10 Million,50 to 200,2015,165201,https://www.linkedin.com/company/knotel,https://www.facebook.com/knotelhq/,http://twitter.com/knotel,,,,https://www.crunchbase.com/organization/knotel,UpLead
Grailed,grailed.com,"Grailed, Inc.",550 Broadway Fl 3,New York,NY,10012,New York,United States,grailed.com,1-646-450-7455,"",5961,"Catalog And Mail Order Houses, Apparel & Fashion",,45411,Electronic Shopping and Mail-Order Houses,Apparel & Fashion,"",$1 Million - $10 Million,50 to 200,2013,2892,https://www.linkedin.com/company/grailed,,https://twitter.com/grailed_,,,,,UpLead
Cintra,cintra.com,Cintra Software & Services Inc,3 Park Ave 32nd Fl,New York,NY,10016,New York,United States,cintra.com,(212) 481-6501,1(212) 213-5827,7379,"Computer Related Services, Nec, Information Technology And Services",573401,541519,Other Computer Related Services,Information Technology And Services,"",$10 Million - $50 Million,50 to 200,1996,,https://www.linkedin.com/company/cintra-software-and-services,,,,,,,UpLead
DAS42,das42.com,Das42,,"",,"","","",das42.com,,"","",Information Technology And Services,,"",,Information Technology And Services,"","","",2015,,https://www.linkedin.com/company/10177552,,,,,,,UpLead
